"Tarih","Endeks","Kapanýþ"
"2019-08-09","Mali",116026.39
"2019-08-15","Mali",111387.73
"2019-08-16","Mali",109488.7
"2019-08-19","Mali",108384.59
"2019-08-20","Mali",109151.05
"2019-08-21","Mali",108605.83
"2019-08-22","Mali",107859.18
"2019-08-23","Mali",110978.96
"2019-08-26","Mali",110694.01
"2019-08-27","Mali",109845.05
"2019-08-28","Mali",109821.13
"2019-08-29","Mali",110339.93
"2019-09-02","Mali",113415.95
"2019-09-03","Mali",114392.76
"2019-09-04","Mali",115645.65
"2019-09-05","Mali",115678.91
"2019-09-06","Mali",113601.24
"2019-09-09","Mali",116191.52
"2019-09-10","Mali",116771.56
"2019-09-11","Mali",117947.8
"2019-09-12","Mali",119411.89
"2019-09-13","Mali",119951.43
"2019-09-16","Mali",119090.12
"2019-09-17","Mali",117652.9
"2019-09-18","Mali",118236.11
"2019-09-19","Mali",115874
"2019-09-20","Mali",115764.65
"2019-09-23","Mali",115557.31
"2019-09-24","Mali",118597.43
"2019-09-25","Mali",119730.89
"2019-09-26","Mali",118723.84
"2019-09-27","Mali",124466.03
"2019-09-30","Mali",123544.41
"2019-10-01","Mali",121826.42
"2019-10-02","Mali",121106.3
"2019-10-03","Mali",120091.47
"2019-10-04","Mali",120962.97
"2019-10-07","Mali",119924.38
"2019-10-08","Mali",118767.4
"2019-10-09","Mali",115534.48
"2019-10-10","Mali",114906.35
"2019-10-11","Mali",114999.34
"2019-10-14","Mali",107448.15
"2019-10-15","Mali",109658.59
"2019-10-16","Mali",109040.42
"2019-10-17","Mali",110137.87
"2019-10-18","Mali",115131.6
"2019-10-21","Mali",113288.78
"2019-10-22","Mali",114278.08
"2019-10-23","Mali",116427.99
"2019-10-24","Mali",117138.48
"2019-10-28","Mali",116421.32
"2019-10-30","Mali",114691.38
"2019-10-31","Mali",114054.68
"2019-11-01","Mali",114204.57
"2019-11-04","Mali",116198.45
"2019-11-05","Mali",116655.38
"2019-11-06","Mali",117652.72
"2019-11-07","Mali",120400.66
"2019-11-08","Mali",120158.47
"2019-11-11","Mali",120361.54
"2019-11-12","Mali",121615.53
"2019-11-13","Mali",122549.33
"2019-11-14","Mali",121267.94
"2019-11-15","Mali",123462.62
"2019-11-18","Mali",125418.58
"2019-11-19","Mali",126576.64
"2019-11-20","Mali",125706.07
"2019-11-21","Mali",126637.5
"2019-11-22","Mali",126326.01
"2019-11-25","Mali",124517.99
"2019-11-26","Mali",125318.8
"2019-11-27","Mali",125126.71
"2019-11-28","Mali",126274.18
"2019-11-29","Mali",125972.86
"2019-12-02","Mali",127097.14
"2019-12-03","Mali",125957.57
"2019-12-04","Mali",127378.13
"2019-12-05","Mali",128497.62
"2019-12-06","Mali",128747.39
"2019-12-09","Mali",128604.39
"2019-12-10","Mali",127932.56
"2019-12-11","Mali",127792.09
"2019-12-12","Mali",130517.97
"2019-12-13","Mali",131503.87
"2019-12-16","Mali",132227.91
"2019-12-17","Mali",131692.01
"2019-12-18","Mali",130957.64
"2019-12-19","Mali",130398.72
"2019-12-20","Mali",130993.53
"2019-12-23","Mali",132175.01
"2019-12-24","Mali",133345.9
"2019-12-25","Mali",133833.06
"2019-12-26","Mali",134093.4
"2019-12-27","Mali",134044.3
"2019-12-30","Mali",135976.77
"2019-12-31","Mali",135131.45
"2020-01-02","Mali",136944.81
"2020-01-03","Mali",133346.3
"2020-01-06","Mali",129828.43
"2020-01-07","Mali",131430.72
"2020-01-08","Mali",132811.64
"2020-01-09","Mali",140209.77
"2020-01-10","Mali",142205.25
"2020-01-13","Mali",144442.9
"2020-01-14","Mali",145489.79
"2020-01-15","Mali",145379.52
"2020-01-16","Mali",145975.87
"2020-01-17","Mali",146700.64
"2020-01-20","Mali",148351.18
"2020-01-21","Mali",149935.53
"2020-01-22","Mali",148327.29
"2020-01-23","Mali",148171.71
"2020-01-24","Mali",148117.43
"2020-01-27","Mali",145730.11
"2020-01-28","Mali",145175.84
"2020-01-29","Mali",144061.25
"2020-01-30","Mali",144555.49
"2020-01-31","Mali",143801.81
"2020-02-03","Mali",144263.35
"2020-02-04","Mali",148633.97
"2020-02-05","Mali",148827.28
"2020-02-06","Mali",149004.63
"2020-02-07","Mali",146891.4
"2020-02-10","Mali",143528.4
"2020-02-11","Mali",145080.6
"2020-02-12","Mali",143504.32
"2020-02-13","Mali",143815.06
"2020-02-14","Mali",143468.44
"2020-02-17","Mali",143884.72
"2020-02-18","Mali",142336.96
"2020-02-19","Mali",140552.03
"2020-02-20","Mali",134574.22
"2020-02-21","Mali",135817.78
"2020-02-24","Mali",132909.66
"2020-02-25","Mali",132260.43
"2020-02-26","Mali",133282.84
"2020-02-27","Mali",127043.35
"2020-02-28","Mali",119726.21
"2020-03-02","Mali",122500.97
"2020-03-03","Mali",128349.32
"2020-03-04","Mali",128578.75
"2020-03-05","Mali",128338.39
"2020-03-06","Mali",124913.36
"2020-03-09","Mali",117348.49
"2020-03-10","Mali",115233.66
"2020-03-11","Mali",114074.13
"2020-03-12","Mali",105019.51
"2020-03-13","Mali",109032.68
"2020-03-16","Mali",100030.71
"2020-03-17","Mali",100270.97
"2020-03-18","Mali",97438.47
"2020-03-19","Mali",96065.06
"2020-03-20","Mali",95628.96
"2020-03-23","Mali",91401.98
"2020-03-24","Mali",98004.68
"2020-03-25","Mali",97436.35
"2020-03-26","Mali",100953.05
"2020-03-27","Mali",97908.35
"2020-03-30","Mali",97958.54
"2020-03-31","Mali",100183.63
"2020-04-01","Mali",98360.31
"2020-04-02","Mali",97918.23
"2020-04-03","Mali",97679.17
"2020-04-06","Mali",100919.41
"2020-04-07","Mali",100977.14
"2020-04-08","Mali",101708.04
"2020-04-09","Mali",106383.88
"2020-04-10","Mali",107808.93
"2020-04-13","Mali",107285.68
"2020-04-14","Mali",109335.65
"2020-04-15","Mali",104360.67
"2020-04-16","Mali",104756.49
"2020-04-17","Mali",107076.45
"2020-04-20","Mali",107406.05
"2020-04-21","Mali",105865.85
"2020-04-22","Mali",106026.98
"2020-04-24","Mali",106952.83
"2020-04-27","Mali",110391.46
"2020-04-28","Mali",109130.38
"2020-04-29","Mali",110327.04
"2020-04-30","Mali",109690.89
"2020-05-04","Mali",107593.14
"2020-05-05","Mali",108011.35
"2020-05-06","Mali",107726
"2020-05-07","Mali",107643.28
"2019-05-07","Sýnai",110687.81
"2019-05-08","Sýnai",107371.32
"2019-05-09","Sýnai",105457.81
"2019-05-10","Sýnai",105880.57
"2019-05-13","Sýnai",104086.23
"2019-05-14","Sýnai",105691.49
"2019-05-15","Sýnai",105794.32
"2019-05-16","Sýnai",105418.4
"2019-05-17","Sýnai",104793.03
"2019-05-20","Sýnai",105049.07
"2019-05-21","Sýnai",103373.07
"2019-05-22","Sýnai",101566.92
"2019-05-23","Sýnai",102296.26
"2019-05-24","Sýnai",103798.06
"2019-05-27","Sýnai",102906.97
"2019-05-28","Sýnai",104162.12
"2019-05-29","Sýnai",104656.6
"2019-05-30","Sýnai",107397.5
"2019-05-31","Sýnai",108337.56
"2019-06-03","Sýnai",107764.69
"2019-06-07","Sýnai",110034.58
"2019-06-10","Sýnai",111052.39
"2019-06-11","Sýnai",110306.93
"2019-06-12","Sýnai",110015.32
"2019-06-13","Sýnai",107985.92
"2019-06-14","Sýnai",107837.45
"2019-06-17","Sýnai",108835.84
"2019-06-18","Sýnai",110689.4
"2019-06-19","Sýnai",110147.52
"2019-06-20","Sýnai",109872.04
"2019-06-21","Sýnai",109465.71
"2019-06-24","Sýnai",110121.61
"2019-06-25","Sýnai",110888.38
"2019-06-26","Sýnai",110361.79
"2019-06-27","Sýnai",111605.74
"2019-06-28","Sýnai",111728.15
"2019-07-01","Sýnai",113096.58
"2019-07-02","Sýnai",113100.5
"2019-07-03","Sýnai",112247.8
"2019-07-04","Sýnai",111642.43
"2019-07-05","Sýnai",110342.07
"2019-07-08","Sýnai",110048.08
"2019-07-09","Sýnai",108218.88
"2019-07-10","Sýnai",109169.95
"2019-07-11","Sýnai",111287.74
"2019-07-12","Sýnai",109645.85
"2019-07-16","Sýnai",111002.52
"2019-07-17","Sýnai",112609.38
"2019-07-18","Sýnai",114273.37
"2019-07-19","Sýnai",115571.49
"2019-07-22","Sýnai",114840.1
"2019-07-23","Sýnai",115811.67
"2019-07-24","Sýnai",117171.63
"2019-07-25","Sýnai",116423.19
"2019-07-26","Sýnai",116892.19
"2019-07-29","Sýnai",117424.55
"2019-07-30","Sýnai",116859.45
"2019-07-31","Sýnai",116172.93
"2019-08-01","Sýnai",116767.01
"2019-08-02","Sýnai",113961.31
"2019-08-05","Sýnai",113013.75
"2019-08-06","Sýnai",113676.45
"2019-08-07","Sýnai",111460.54
"2019-08-08","Sýnai",112740.87
"2019-08-09","Sýnai",112792.06
"2019-08-15","Sýnai",109748.09
"2019-08-16","Sýnai",108751.57
"2019-08-19","Sýnai",108740.39
"2019-08-20","Sýnai",110689.94
"2019-08-21","Sýnai",110484.38
"2019-08-22","Sýnai",110289.39
"2019-08-23","Sýnai",111233.2
"2019-08-26","Sýnai",111968.27
"2019-08-27","Sýnai",110929.91
"2019-08-28","Sýnai",110412.42
"2019-08-29","Sýnai",111321.48
"2019-09-02","Sýnai",112384.72
"2019-09-03","Sýnai",113479.54
"2019-09-04","Sýnai",114505.92
"2019-09-05","Sýnai",114616.44
"2019-09-06","Sýnai",113485.64
"2019-09-09","Sýnai",115187.61
"2019-09-10","Sýnai",116150.89
"2019-09-11","Sýnai",116613.88
"2019-09-12","Sýnai",117215.89
"2019-09-13","Sýnai",117674.67
"2019-09-16","Sýnai",117681.13
"2019-09-17","Sýnai",116833.88
"2019-09-18","Sýnai",117766.09
"2019-09-19","Sýnai",115994.52
"2019-09-20","Sýnai",115550.5
"2019-09-23","Sýnai",114829.67
"2019-09-24","Sýnai",116394.85
"2019-09-25","Sýnai",116743.99
"2019-09-26","Sýnai",117257.34
"2019-09-27","Sýnai",119055.87
"2019-09-30","Sýnai",119774.91
"2019-10-01","Sýnai",119235.32
"2019-10-02","Sýnai",118627.28
"2019-10-03","Sýnai",118299.86
"2019-10-04","Sýnai",119185.76
"2019-10-07","Sýnai",119362.07
"2019-10-08","Sýnai",117374.44
"2019-10-09","Sýnai",114809.99
"2019-10-10","Sýnai",113807.29
"2019-10-11","Sýnai",114169.92
"2019-10-14","Sýnai",109897.78
"2019-10-15","Sýnai",111040.98
"2019-10-16","Sýnai",109725.94
"2019-10-17","Sýnai",110104.07
"2019-10-18","Sýnai",113140.2
"2019-10-21","Sýnai",112356.59
"2019-10-22","Sýnai",112925.58
"2019-10-23","Sýnai",115256.06
"2019-10-24","Sýnai",115809.89
"2019-10-28","Sýnai",115527.07
"2019-10-30","Sýnai",114949.67
"2019-10-31","Sýnai",115182.12
"2019-11-01","Sýnai",115271.5
"2019-11-04","Sýnai",117359.36
"2019-11-05","Sýnai",117486.01
"2019-11-06","Sýnai",118224.3
"2019-11-07","Sýnai",120701.23
"2019-11-08","Sýnai",120310.01
"2019-11-11","Sýnai",120537.72
"2019-11-12","Sýnai",120974.28
"2019-11-13","Sýnai",121786.17
"2019-11-14","Sýnai",120941.52
"2019-11-15","Sýnai",122669.56
"2019-11-18","Sýnai",124508.49
"2019-11-19","Sýnai",125440.8
"2019-11-20","Sýnai",124735.59
"2019-11-21","Sýnai",124583.32
"2019-11-22","Sýnai",125037.62
"2019-11-25","Sýnai",124115.11
"2019-11-26","Sýnai",124681.46
"2019-11-27","Sýnai",124534.51
"2019-11-28","Sýnai",125929.3
"2019-11-29","Sýnai",126562.53
"2019-12-02","Sýnai",128785.92
"2019-12-03","Sýnai",127547.93
"2019-12-04","Sýnai",128960.63
"2019-12-05","Sýnai",129774.5
"2019-12-06","Sýnai",129922.08
"2019-12-09","Sýnai",130786.54
"2019-12-10","Sýnai",129537.86
"2019-12-11","Sýnai",129444.68
"2019-12-12","Sýnai",131669.06
"2019-12-13","Sýnai",131579.15
"2019-12-16","Sýnai",132516.15
"2019-12-17","Sýnai",132922.69
"2019-12-18","Sýnai",132033.6
"2019-12-19","Sýnai",132617.85
"2019-12-20","Sýnai",134153.18
"2019-12-23","Sýnai",135841.2
"2019-12-24","Sýnai",136902.19
"2019-12-25","Sýnai",137117.04
"2019-12-26","Sýnai",137608.7
"2019-12-27","Sýnai",138035.2
"2019-12-30","Sýnai",139061.09
"2019-12-31","Sýnai",139152.93
"2020-01-02","Sýnai",140945.29
"2020-01-03","Sýnai",138370.75
"2020-01-06","Sýnai",136048.67
"2020-01-07","Sýnai",137755.8
"2020-01-08","Sýnai",136828.12
"2020-01-09","Sýnai",142074.67
"2020-01-10","Sýnai",142332.04
"2020-01-13","Sýnai",144731.07
"2020-01-14","Sýnai",145807.49
"2020-01-15","Sýnai",144990.18
"2020-01-16","Sýnai",144716.48
"2020-01-17","Sýnai",145527.82
"2020-01-20","Sýnai",147466.04
"2020-01-21","Sýnai",148532.06
"2020-01-22","Sýnai",148414.28
"2020-01-23","Sýnai",148462.99
"2020-01-24","Sýnai",148206.66
"2020-01-27","Sýnai",146877.72
"2020-01-28","Sýnai",146357.47
"2020-01-29","Sýnai",146293.04
"2020-01-30","Sýnai",145390.04
"2020-01-31","Sýnai",145355.34
"2020-02-03","Sýnai",145512.61
